S No.,Name,Branch,Enrollment No., Subject1, Subject2, Subject3, Subject4, Subject5, Lab1, Lab2, Lab3, Lab4, Lab5
1,name1,ECE,110102815,56,49,67,55,55,80,45,38,83,96
2,name2,ECE,210102815,91,97,82,98,80,58,57,63,99,92
3,name3,ECE,310102815,77,92,39,67,81,41,55,73,43,41
4,name4,ECE,410102815,81,38,70,96,85,86,75,66,39,70
5,name5,ECE,510102815,79,44,78,84,75,98,58,93,72,77
6,name6,ECE,610102815,53,73,76,86,63,65,61,57,50,73
7,name7,ECE,710102815,83,89,92,85,74,44,93,88,99,46
8,name8,ECE,810102815,95,96,92,37,90,71,95,94,68,43
9,name9,ECE,910102815,86,55,99,55,82,75,70,45,89,68
10,name10,ECE,1010102815,47,40,99,51,73,49,69,51,70,70
11,name11,ECE,1110102815,63,78,66,82,57,58,50,77,76,64
12,name12,ECE,1210102815,59,80,66,86,94,50,62,42,47,51
13,name13,ECE,1310102815,70,86,44,94,65,38,75,54,44,62
14,name14,ECE,1410102815,67,72,47,67,60,77,82,50,43,76
15,name15,ECE,1510102815,89,70,42,83,36,59,42,97,46,72
16,name16,ECE,1610102815,85,43,90,50,94,42,90,53,97,58
17,name17,ECE,1710102815,71,40,95,47,54,95,60,48,98,86
18,name18,ECE,1810102815,79,56,69,62,99,80,91,39,53,83
19,name19,ECE,1910102815,48,91,64,96,66,60,40,59,59,75
20,name20,ECE,2010102815,57,55,52,93,65,56,37,97,52,81
21,name21,ECE,2110102815,36,37,71,73,90,48,37,36,86,75
22,name22,ECE,2210102815,81,38,94,98,58,87,97,85,41,72
23,name23,ECE,2310102815,46,52,89,58,76,46,93,73,91,92
24,name24,ECE,2410102815,58,72,96,86,75,95,79,98,41,65
25,name25,ECE,2510102815,48,69,53,93,46,79,69,77,62,95
26,name26,ECE,2610102815,46,86,59,56,95,55,86,68,79,35
27,name27,ECE,2710102815,54,87,36,61,52,81,52,43,35,60
28,name28,ECE,2810102815,46,77,79,72,39,84,70,47,87,85
29,name29,ECE,2910102815,77,96,40,77,99,38,45,47,86,83
30,name30,ECE,3010102815,71,73,56,76,88,70,68,97,80,42
31,name31,ECE,3110102815,56,51,59,97,98,87,58,78,56,83
32,name32,ECE,3210102815,85,75,86,94,48,57,57,77,67,76
33,name33,ECE,3310102815,81,97,42,69,94,96,95,78,83,37
34,name34,ECE,3410102815,93,67,50,96,81,49,64,45,37,43
35,name35,ECE,3510102815,63,77,72,49,37,37,67,78,98,57
36,name36,ECE,3610102815,67,57,55,66,55,58,96,37,58,90
37,name37,ECE,3710102815,74,89,90,37,64,91,69,77,76,76
38,name38,ECE,3810102815,91,37,46,56,61,38,60,70,71,98
39,name39,ECE,3910102815,40,47,59,80,63,55,91,99,47,70
40,name40,ECE,4010102815,94,71,49,60,55,65,63,97,78,56
41,name41,ECE,4110102815,54,38,57,87,93,68,66,76,56,60
42,name42,ECE,4210102815,57,42,84,47,96,78,41,49,97,69
43,name43,ECE,4310102815,91,81,92,60,48,62,79,67,40,96
44,name44,ECE,4410102815,63,63,98,64,90,43,48,80,78,51
45,name45,ECE,4510102815,70,75,89,46,72,97,98,95,70,87
46,name46,ECE,4610102815,86,84,76,85,57,47,74,63,83,90
47,name47,ECE,4710102815,59,35,87,81,68,37,56,86,91,56
48,name48,ECE,4810102815,60,82,85,89,92,43,52,75,87,94
49,name49,ECE,4910102815,53,51,35,41,41,65,56,99,75,41
50,name50,ECE,5010102815,84,68,63,45,60,53,78,94,42,78
