S No.,Name,Branch,Enrollment No., Subject1, Subject2, Subject3, Subject4, Subject5, Lab1, Lab2, Lab3, Lab4, Lab5
,,,,,,,,,,,,,
1,name1,IT,110403115,79,82,85,52,87,52,75,81,40,83
2,name2,IT,210403115,77,75,63,74,80,36,89,51,99,99
3,name3,IT,310403115,43,46,82,75,95,50,80,65,86,44
4,name4,IT,410403115,76,89,50,65,44,99,65,59,98,44
5,name5,IT,510403115,78,87,43,51,85,40,68,42,83,77
6,name6,IT,610403115,83,59,98,51,95,63,89,65,39,66
7,name7,IT,710403115,85,55,67,97,38,92,64,99,65,55
8,name8,IT,810403115,98,99,41,39,89,71,94,96,56,91
9,name9,IT,910403115,75,87,87,48,45,60,53,45,75,43
10,name10,IT,1010403115,70,64,83,91,88,79,62,50,47,69
11,name11,IT,1110403115,78,77,93,65,82,67,86,48,77,61
12,name12,IT,1210403115,68,67,40,94,38,54,90,81,84,96
13,name13,IT,1310403115,84,64,35,55,82,99,68,78,51,48
14,name14,IT,1410403115,84,65,77,82,67,78,78,91,45,89
15,name15,IT,1510403115,56,55,89,73,49,68,98,46,91,74
16,name16,IT,1610403115,63,76,46,60,70,88,56,48,49,65
17,name17,IT,1710403115,76,46,49,94,45,47,89,64,81,45
18,name18,IT,1810403115,61,79,44,57,79,79,77,89,65,83
19,name19,IT,1910403115,55,56,47,93,58,41,65,70,87,38
20,name20,IT,2010403115,66,92,55,53,75,90,71,93,56,91
21,name21,IT,2110403115,56,88,87,41,71,77,66,47,49,42
22,name22,IT,2210403115,70,42,78,44,62,78,74,68,50,96
23,name23,IT,2310403115,72,89,92,86,37,78,41,65,50,75
24,name24,IT,2410403115,88,36,39,77,60,38,54,90,84,61
25,name25,IT,2510403115,59,82,65,50,52,92,76,92,87,77
26,name26,IT,2610403115,75,73,65,91,67,53,57,60,45,41
27,name27,IT,2710403115,49,96,46,40,81,64,81,93,93,52
28,name28,IT,2810403115,35,39,36,55,48,57,94,48,70,89
29,name29,IT,2910403115,57,48,75,77,93,58,84,60,58,49
30,name30,IT,3010403115,95,39,99,92,89,68,97,39,84,38
31,name31,IT,3110403115,84,35,54,65,71,66,87,43,80,64
32,name32,IT,3210403115,95,96,67,56,98,72,92,78,74,77
33,name33,IT,3310403115,70,54,90,96,92,89,99,41,88,54
34,name34,IT,3410403115,90,61,62,86,61,90,83,85,44,36
35,name35,IT,3510403115,88,48,65,51,79,90,75,52,58,82
36,name36,IT,3610403115,93,73,49,90,52,67,50,66,94,79
37,name37,IT,3710403115,99,61,94,56,93,70,50,95,53,49
38,name38,IT,3810403115,40,65,86,44,43,52,53,50,52,39
39,name39,IT,3910403115,56,63,37,37,99,54,60,77,90,39
40,name40,IT,4010403115,73,70,47,96,89,35,44,46,63,41
41,name41,IT,4110403115,81,63,40,71,92,58,81,82,95,94
42,name42,IT,4210403115,93,36,46,67,77,68,69,65,62,49
43,name43,IT,4310403115,70,93,51,43,72,64,59,77,35,78
44,name44,IT,4410403115,62,79,60,38,35,63,36,88,78,58
45,name45,IT,4510403115,68,78,88,37,87,68,46,90,74,49
46,name46,IT,4610403115,75,87,90,93,46,46,88,93,47,53
47,name47,IT,4710403115,78,87,47,89,94,74,90,62,98,78
48,name48,IT,4810403115,59,50,63,77,35,73,38,50,91,87
49,name49,IT,4910403115,69,40,65,75,39,52,95,67,50,94
50,name50,IT,5010403115,88,37,65,96,62,60,96,66,84,88
