S No.,Name,Branch,Enrollment No., Subject1, Subject2, Subject3, Subject4, Subject5, Lab1, Lab2, Lab3, Lab4, Lab5
1,name1,IT,110403115,81,35,77,66,88,71,93,64,68,91
2,name2,IT,210403115,73,87,82,37,35,62,76,91,53,99
3,name3,IT,310403115,47,53,89,94,73,41,89,44,52,78
4,name4,IT,410403115,86,91,48,90,45,46,38,57,91,83
5,name5,IT,510403115,96,63,65,69,76,78,67,77,40,92
6,name6,IT,610403115,94,55,82,66,63,48,35,43,61,40
7,name7,IT,710403115,65,82,93,91,64,35,83,95,56,84
8,name8,IT,810403115,64,60,55,58,59,80,60,71,49,95
9,name9,IT,910403115,58,55,72,35,71,90,84,64,73,76
10,name10,IT,1010403115,77,91,69,35,59,84,63,86,64,55
11,name11,IT,1110403115,94,73,53,36,81,35,97,57,84,52
12,name12,IT,1210403115,70,89,98,58,99,55,71,89,62,55
13,name13,IT,1310403115,60,61,39,89,49,88,56,46,44,42
14,name14,IT,1410403115,53,93,40,55,63,51,90,46,86,66
15,name15,IT,1510403115,62,52,66,73,45,91,67,37,47,82
16,name16,IT,1610403115,85,84,65,71,75,36,95,43,48,44
17,name17,IT,1710403115,90,47,65,95,75,93,49,82,92,86
18,name18,IT,1810403115,41,35,75,50,88,79,67,37,61,92
19,name19,IT,1910403115,93,83,50,96,88,89,93,64,76,58
20,name20,IT,2010403115,74,37,67,57,47,54,74,59,85,55
21,name21,IT,2110403115,75,58,81,78,60,44,81,74,59,43
22,name22,IT,2210403115,76,97,71,96,74,70,84,48,90,47
23,name23,IT,2310403115,76,45,59,85,70,62,36,90,80,49
24,name24,IT,2410403115,41,44,62,91,52,85,35,38,37,99
25,name25,IT,2510403115,74,39,81,94,63,69,96,37,73,89
26,name26,IT,2610403115,51,90,56,68,46,76,41,88,70,50
27,name27,IT,2710403115,96,91,48,94,40,57,40,64,49,35
28,name28,IT,2810403115,94,63,96,71,89,81,86,43,98,84
29,name29,IT,2910403115,81,82,47,35,64,73,52,76,49,65
30,name30,IT,3010403115,40,85,98,82,39,61,49,53,51,46
31,name31,IT,3110403115,73,95,35,76,85,54,52,56,42,35
32,name32,IT,3210403115,99,51,86,47,81,85,84,62,85,80
33,name33,IT,3310403115,53,41,76,40,45,84,66,35,70,41
34,name34,IT,3410403115,86,92,44,80,86,91,55,65,94,84
35,name35,IT,3510403115,69,52,63,75,46,41,56,45,84,83
36,name36,IT,3610403115,45,35,48,40,62,38,62,39,89,79
37,name37,IT,3710403115,36,85,89,61,72,51,50,43,48,69
38,name38,IT,3810403115,62,35,85,75,93,53,92,59,67,53
39,name39,IT,3910403115,66,96,92,65,58,40,59,81,62,92
40,name40,IT,4010403115,38,69,64,56,77,50,37,91,93,81
41,name41,IT,4110403115,73,62,65,66,53,36,80,60,66,61
42,name42,IT,4210403115,85,93,66,66,92,85,41,68,70,61
43,name43,IT,4310403115,80,45,97,57,51,81,87,72,79,62
44,name44,IT,4410403115,90,81,96,36,55,50,90,61,42,99
45,name45,IT,4510403115,35,41,98,77,36,55,95,46,99,39
46,name46,IT,4610403115,95,46,71,44,69,72,47,77,94,42
47,name47,IT,4710403115,90,90,97,50,38,74,83,46,36,47
48,name48,IT,4810403115,88,78,53,50,49,44,93,94,73,97
49,name49,IT,4910403115,43,96,45,87,46,65,95,84,49,75
50,name50,IT,5010403115,73,73,36,49,79,68,97,55,36,59
